,Genre,Actors,Rated,imdbRating
56,Comedy,"Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston",R,5.8
57,"Action, Comedy","Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt",PG-13,5.9
58,"Comedy, Romance","Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan",PG-13,6.0
59,"Drama, Horror, Mystery, Thriller","Annalise Basso, Elizabeth Reaser, Lulu Wilson, Henry Thomas",PG-13,6.1
60,"Action, Drama, Romance, Thriller, War","Brad Pitt, Vincent Ebrahim, Xavier de Guillebon, Marion Cotillard",R,7.1
61,"Biography, Drama, Family","Jennifer Garner, Kylie Rogers, Martin Henderson, Brighton Sharbino",PG,7.1
62,"Action, Drama, History, Thriller","Chris Pine, Casey Affleck, Ben Foster, Eric Bana",PG-13,6.8
63,"Animation, Adventure, Comedy, Fantasy","Alistair Abell, Iris Apatow, Sugar Lyn Beard, Michael Cera",R,6.2
64,"Horror, Mystery, Thriller","James Allen McCune, Callie Hernandez, Corbin Reid, Brandon Scott",R,5.0
65,"Action, Crime, Drama, History, Thriller","Mark Wahlberg, Dicky Eklund Jr., Michael Marchand, Rhet Kidd",R,7.4
66,"Action, Adventure, Fantasy","Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau",PG-13,5.4
67,"Drama, Mystery, Sci-Fi, Thriller","Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",PG-13,7.9
68,"Crime, Drama, Thriller","George Clooney, Julia Roberts, Jack O'Connell, Dominic West",R,6.5
69,"Action, Adventure, Drama, History","Jack Huston, Toby Kebbell, Rodrigo Santoro, Nazanin Boniadi",PG-13,5.7
70,"Action, Comedy, Crime","Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball",PG-13,5.8
71,"Drama, Romance","Will Smith, Edward Norton, Kate Winslet, Michael Peña",PG-13,6.8
72,"Action, Comedy","Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot",PG-13,5.9
73,Comedy,"Zoey Deutch, James Franco, Tangie Ambrose, Cedric the Entertainer",R,6.2
74,"Adventure, Comedy, Romance","Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza",R,6.0
75,"Action, Adventure, Sci-Fi","Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson",PG-13,5.8
76,"Biography, Drama, History, War","Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson",R,8.1
77,"Drama, Horror, Thriller","Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Joseph Salas",PG-13,6.3
78,"Comedy, Crime, Drama","Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks",R,5.6
79,"Action, Horror, Romance","Lily James, Sam Riley, Bella Heathcote, Ellie Bamber",PG-13,5.8
80,"Comedy, Drama, Romance","Renée Zellweger, Gemma Jones, Jim Broadbent, Sally Phillips",R,6.5
